data,volume_total,volume_p2,volume_p3,volume_monitoramento,volume_manual,volume_sem_intervencao,media_movel_7d
2025-09-01,874,39,125,829,45,767,874.0
2025-09-02,1153,296,171,1091,62,1034,1013.5
2025-09-03,1073,41,114,1018,55,956,1033.3
2025-09-04,1280,187,151,1226,54,1179,1095.0
2025-09-05,1030,56,149,979,51,898,1082.0
2025-09-06,455,42,63,435,20,397,977.5
2025-09-07,369,34,62,366,3,341,890.6
2025-09-08,511,55,167,454,57,395,838.7
2025-09-09,602,57,154,539,63,479,760.0
2025-09-10,678,79,276,621,57,545,703.6
2025-09-11,522,42,174,440,82,387,595.3
2025-09-12,635,58,259,576,59,489,538.9
2025-09-13,566,23,110,539,27,482,554.7
2025-09-14,492,21,72,484,8,439,572.3
2025-09-15,673,96,198,590,83,521,595.4
2025-09-16,597,42,174,521,76,455,594.7
2025-09-17,593,52,187,526,67,441,582.6
2025-09-18,600,66,165,531,69,480,593.7
2025-09-19,679,70,164,614,65,543,600.0
2025-09-20,717,73,168,688,29,611,621.6
2025-09-21,681,46,105,670,11,631,648.6
2025-09-22,1431,85,849,1346,85,1229,756.9
2025-09-23,893,250,240,804,89,566,799.1
2025-09-24,674,180,182,599,75,426,810.7
2025-09-25,628,66,155,564,64,466,814.7
2025-09-26,654,30,243,602,52,551,811.1
2025-09-27,564,22,109,543,21,479,789.3
2025-09-28,505,20,72,494,11,451,764.1
2025-09-29,659,39,160,598,61,556,653.9
2025-09-30,773,62,191,721,52,644,636.7
2025-10-01,733,47,141,659,74,597,645.1
2025-10-02,885,110,223,809,76,724,681.9
2025-10-03,1063,109,323,1012,51,881,740.3
2025-10-04,740,37,130,722,18,652,765.4
2025-10-05,553,13,103,550,3,521,772.3
2025-10-06,723,27,236,666,57,615,781.4
2025-10-07,1098,272,162,1019,79,955,827.9
2025-10-08,999,67,204,934,65,832,865.9
2025-10-09,1074,93,174,1021,53,840,892.9
2025-10-10,1049,140,219,984,65,900,890.9
2025-10-11,540,12,98,517,23,485,862.3
2025-10-12,499,18,72,493,6,465,854.6
2025-10-13,627,72,100,578,49,500,840.9
2025-10-14,777,100,137,714,63,594,795.0
2025-10-15,709,117,153,653,56,572,753.6
2025-10-16,936,386,149,880,56,503,733.9
2025-10-17,533,50,121,481,52,398,660.1
2025-10-18,615,42,99,606,9,534,670.9
2025-10-19,531,31,101,525,6,488,675.4
2025-10-20,592,73,129,538,54,491,670.4
2025-10-21,711,77,190,634,77,570,661.0
2025-10-22,857,143,182,776,81,726,682.1
2025-10-23,756,130,182,691,65,570,656.4
2025-10-24,1022,209,299,953,69,858,726.3
2025-10-25,599,24,74,581,18,550,724.0
2025-10-26,546,31,123,541,5,500,726.1
2025-10-27,568,48,120,519,49,469,722.7
2025-10-28,678,68,181,613,65,555,718.0
2025-10-29,616,35,185,571,45,521,683.6
2025-10-30,624,43,186,570,54,513,664.7
2025-10-31,764,79,298,702,62,585,627.9
2025-11-01,574,58,99,556,18,512,624.3
2025-11-02,556,44,95,554,2,511,625.7
2025-11-03,564,84,119,519,45,462,625.1
2025-11-04,546,69,133,484,62,428,606.3
2025-11-05,1273,684,225,1215,58,1157,700.1
2025-11-06,529,58,140,475,54,433,686.6
2025-11-07,630,93,165,583,47,543,667.4
2025-11-08,590,50,128,577,13,549,669.7
2025-11-09,519,35,69,513,6,480,664.4
2025-11-10,665,64,209,611,54,548,678.9
2025-11-11,627,64,131,588,39,542,690.4
2025-11-12,692,107,206,642,50,578,607.4
2025-11-13,621,67,182,565,56,482,620.6
2025-11-14,583,58,105,539,44,502,613.9
2025-11-15,546,47,71,533,13,492,607.6
2025-11-16,538,23,69,534,4,499,610.3
2025-11-17,764,138,104,726,38,684,624.4
2025-11-18,774,89,111,732,42,681,645.4
2025-11-19,713,52,87,676,37,630,648.4
2025-11-20,816,243,56,800,16,595,676.3
2025-11-21,920,246,155,885,35,729,724.4
2025-11-22,892,148,212,881,11,716,773.9
2025-11-23,874,55,193,872,2,800,821.9
2025-11-24,934,112,269,877,57,825,846.1
2025-11-25,756,48,203,718,38,650,843.6
2025-11-26,905,85,282,857,48,707,871.0
2025-11-27,771,56,188,719,52,658,864.6
2025-11-28,824,62,237,766,58,700,850.9
2025-11-29,721,39,124,704,17,670,826.4
2025-11-30,807,91,100,795,12,745,816.9
2025-12-01,998,198,267,956,42,892,826.0
2025-12-02,782,67,220,728,54,666,829.7
2025-12-03,729,70,206,675,54,628,804.6
2025-12-04,744,45,188,706,38,650,800.7
