data,janela,real,rf_pred,baseline_pred
2025-10-02,1,885,760.5462259146076,645.1428571428571
2025-10-03,1,1063,761.7415878674697,681.8571428571429
2025-10-04,1,740,760.2317248323566,740.2857142857143
2025-10-05,1,553,758.0158620377438,765.4285714285714
2025-10-06,1,723,678.9547574201396,772.2857142857143
2025-10-07,1,1098,771.1228951065267,781.4285714285714
2025-10-08,1,999,765.0263927015243,827.8571428571429
2025-10-09,1,1074,754.042139454771,865.8571428571429
2025-10-10,1,1049,753.7504727881044,892.8571428571429
2025-10-11,1,540,753.7504727881044,890.8571428571429
2025-10-12,1,499,654.8276321195143,862.2857142857143
2025-10-13,1,627,668.643368892001,854.5714285714286
2025-10-14,1,777,671.7073021531843,840.8571428571429
2025-10-15,1,709,758.0936889978207,795.0
2025-10-16,1,936,755.9584695413513,753.5714285714286
2025-10-17,1,533,756.675039286421,733.8571428571429
2025-10-18,1,615,660.7593904167726,660.1428571428571
2025-10-19,1,531,655.9910217299039,670.8571428571429
2025-10-20,1,592,677.5340822157145,675.4285714285714
2025-10-21,1,711,674.0854622060946,670.4285714285714
2025-10-22,1,857,764.0036007342325,661.0
2025-10-23,1,756,760.851649435531,682.1428571428571
2025-10-24,1,1022,769.3231560492878,656.4285714285714
2025-10-25,1,599,764.6430925572242,726.2857142857143
2025-10-26,1,546,665.0852995076817,724.0
2025-10-27,1,568,680.4137161743483,726.1428571428571
2025-10-28,1,678,677.9889450103273,722.7142857142857
2025-10-29,1,616,760.8616482330299,718.0
2025-10-30,1,624,672.0164117010439,683.5714285714286
2025-10-31,1,764,672.9316655490478,664.7142857142857
2025-11-01,2,574,786.1050678831115,627.8571428571429
2025-11-02,2,556,612.0018018975206,624.2857142857143
2025-11-03,2,564,635.6399126120127,625.7142857142857
2025-11-04,2,546,657.7781940881902,625.1428571428571
2025-11-05,2,1273,639.8846455087742,606.2857142857143
2025-11-06,2,529,812.8772000254219,700.1428571428571
2025-11-07,2,630,671.094167926372,686.5714285714286
2025-11-08,2,590,609.8290575735471,667.4285714285714
2025-11-09,2,519,601.9661427168321,669.7142857142857
2025-11-10,2,665,637.6857663721156,664.4285714285714
2025-11-11,2,627,655.2099968591064,678.8571428571429
2025-11-12,2,692,674.7843443855339,690.4285714285714
2025-11-13,2,621,809.8445696675043,607.4285714285714
2025-11-14,2,583,637.6468880863716,620.5714285714286
2025-11-15,2,546,606.284817783839,613.8571428571429
2025-11-16,2,538,610.2562658048869,607.5714285714286
2025-11-17,2,764,658.2651914236434,610.2857142857143
2025-11-18,2,774,853.1189980468446,624.4285714285714
2025-11-19,2,713,877.4461052362241,645.4285714285714
2025-11-20,2,816,869.6689197664792,648.4285714285714
2025-11-21,2,920,798.9723905680089,676.2857142857143
2025-11-22,2,892,779.0727281359563,724.4285714285714
2025-11-23,2,874,748.193718522204,773.8571428571429
2025-11-24,2,934,864.6745574849268,821.8571428571429
2025-11-25,2,756,861.02461061698,846.1428571428571
2025-11-26,2,905,879.904124709369,843.5714285714286
2025-11-27,2,771,853.046324791694,871.0
2025-11-28,2,824,835.9006558748553,864.5714285714286
2025-11-29,2,721,774.2306033922215,850.8571428571429
2025-11-30,2,807,811.7315638114318,826.4285714285714
2025-12-01,3,998,833.2652078438986,816.8571428571429
2025-12-02,3,782,838.1351836366244,826.0
2025-12-03,3,729,830.7754744084889,829.7142857142857
2025-12-04,3,744,824.1471714578995,804.5714285714286
2025-12-05,3,872,825.8644302230989,800.7142857142857
2025-12-06,3,751,771.1982012848262,807.5714285714286
2025-12-07,3,738,785.8972566276318,811.8571428571429
2025-12-08,3,772,835.1773590989618,802.0
2025-12-09,3,881,842.1818139736075,769.7142857142857
2025-12-10,3,801,833.2440930836588,783.8571428571429
2025-12-11,3,741,830.8036714728623,794.1428571428571
2025-12-12,3,727,825.3065905573185,793.7142857142857
2025-12-13,3,761,769.9089750851001,773.0
2025-12-14,3,695,771.8474370860621,774.4285714285714
2025-12-15,3,863,825.2122598055535,768.2857142857143
2025-12-16,3,1076,807.7567710311986,781.2857142857143
2025-12-17,3,1025,814.9034354867837,809.1428571428571
2025-12-18,3,1005,800.5042100815853,841.1428571428571
2025-12-19,3,839,800.1495904512155,878.8571428571429
2025-12-20,3,984,758.0245873978967,894.8571428571429
2025-12-21,3,1104,742.5866075536669,926.7142857142857
2025-12-22,3,1370,819.8113084323082,985.1428571428571
2025-12-23,3,1122,819.1185794945794,1057.5714285714287
2025-12-24,3,929,808.0646952538202,1064.142857142857
2025-12-25,3,704,806.1133123126873,1050.4285714285713
2025-12-26,3,910,828.8083236020516,1007.4285714285714
2025-12-27,3,1027,720.5719566402526,1017.5714285714286
2025-12-28,3,829,765.5168710448048,1023.7142857142857
2025-12-29,3,921,834.4753593397344,984.4285714285714
2025-12-30,3,866,825.1196885614385,920.2857142857143
2025-12-31,3,755,829.168260175826,883.7142857142857
