data,volume_total,volume_p2,volume_p3,volume_outras_prioridades
2025-01-01,34,5,6,23
2025-01-02,55,5,38,12
2025-01-03,77,11,40,26
2025-01-04,166,139,10,17
2025-01-05,39,11,7,21
2025-01-06,115,32,53,30
2025-01-07,93,15,49,29
2025-01-08,144,27,94,23
2025-01-09,191,37,122,32
2025-01-10,98,13,63,22
2025-01-11,84,23,34,27
2025-01-12,45,12,20,13
2025-01-13,141,45,73,23
2025-01-14,134,24,81,29
2025-01-15,224,73,100,51
2025-01-16,195,82,85,28
2025-01-17,136,25,84,27
2025-01-18,65,15,37,13
2025-01-19,58,9,28,21
2025-01-20,107,17,69,21
2025-01-21,111,21,72,18
2025-01-22,124,26,80,18
2025-01-23,140,37,68,35
2025-01-24,105,20,63,22
2025-01-25,137,26,71,40
2025-01-26,77,36,24,17
2025-01-27,158,35,80,43
2025-01-28,152,30,107,15
2025-01-29,154,25,92,37
2025-01-30,242,39,175,28
2025-01-31,113,21,71,21
2025-02-01,56,8,30,18
2025-02-02,55,15,28,12
2025-02-03,227,33,153,41
2025-02-04,131,23,87,21
2025-02-05,136,32,81,23
2025-02-06,174,28,114,32
2025-02-07,129,20,83,26
2025-02-08,51,16,22,13
2025-02-09,46,13,20,13
2025-02-10,134,35,86,13
2025-02-11,142,50,74,18
2025-02-12,156,41,92,23
2025-02-13,116,24,65,27
2025-02-14,112,20,71,21
2025-02-15,90,11,58,21
2025-02-16,63,15,42,6
2025-02-17,117,28,72,17
2025-02-18,147,19,108,20
2025-02-19,185,18,141,26
2025-02-20,181,33,126,22
2025-02-21,168,41,114,13
2025-02-22,71,17,41,13
2025-02-23,108,25,67,16
2025-02-24,116,23,81,12
2025-02-25,125,22,83,20
2025-02-26,230,21,114,95
2025-02-27,155,41,84,30
2025-02-28,132,33,79,20
2025-03-01,84,18,32,34
2025-03-02,39,16,16,7
2025-03-03,43,11,21,11
2025-03-04,42,7,20,15
2025-03-05,99,23,61,15
2025-03-06,138,25,97,16
2025-03-07,120,23,84,13
2025-03-08,130,14,97,19
2025-03-09,42,12,16,14
2025-03-10,110,27,68,15
2025-03-11,172,56,100,16
2025-03-12,158,33,96,29
2025-03-13,157,41,90,26
2025-03-14,155,15,111,29
2025-03-15,48,13,18,17
2025-03-16,68,20,30,18
2025-03-17,230,20,188,22
2025-03-18,124,20,78,26
2025-03-19,268,128,103,37
2025-03-20,143,26,95,22
2025-03-21,157,36,94,27
2025-03-22,83,14,51,18
2025-03-23,56,8,26,22
2025-03-24,134,18,72,44
2025-03-25,162,18,110,34
2025-03-26,150,30,77,43
2025-03-27,117,22,77,18
2025-03-28,130,23,75,32
2025-03-29,63,7,30,26
2025-03-30,56,13,22,21
2025-03-31,110,37,54,19
2025-04-01,127,28,79,20
2025-04-02,152,14,108,30
2025-04-03,178,35,95,48
2025-04-04,180,22,126,32
2025-04-05,105,8,77,20
2025-04-06,45,10,19,16
2025-04-07,145,28,78,39
2025-04-08,131,9,93,29
2025-04-09,125,18,73,34
2025-04-10,120,14,72,34
2025-04-11,89,9,52,28
2025-04-12,47,9,27,11
2025-04-13,56,12,22,22
2025-04-14,110,19,72,19
2025-04-15,112,32,54,26
2025-04-16,103,14,67,22
2025-04-17,140,14,94,32
2025-04-18,67,14,41,12
2025-04-19,54,7,35,12
2025-04-20,31,7,13,11
2025-04-21,49,15,19,15
2025-04-22,78,11,49,18
2025-04-23,123,29,64,30
2025-04-24,130,15,75,40
2025-04-25,118,21,68,29
2025-04-26,61,16,32,13
2025-04-27,45,5,20,20
2025-04-28,115,16,80,19
2025-04-29,171,25,111,35
2025-04-30,195,44,126,25
2025-05-01,93,14,48,31
2025-05-02,95,8,62,25
2025-05-03,66,13,37,16
2025-05-04,37,8,19,10
2025-05-05,95,10,68,17
2025-05-06,108,18,70,20
